site,ACFL,AMCR,AMGO,AMRE,AMRO,BAOR,BAWW,BGGN,BHCO,BLBW,BLJA,BRTH,BTNW,BWWA,CACH,CARW,CEDW,CERW,CHSP,COYE,EAPH,EATO,EAWP,ETTI,FISP,GCFL,GRCA,HOWA,INBU,KEWA,LOWA,NOCA,NOPA,OVEN,PIWA,PRAW,RBGR,REVI,RWBL,SCTA,SUTA,WBNU,WEVI,WEWA,WOTH,YBCH,YTVI,YTWA
site_1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,6,0,0,0,12,0,0,0,1,0,0,0,0,1,0
site_2,9,0,0,0,3,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,6,0,0,0,6,0,4,0,0,0,2,7,0,1,0
site_3,4,0,0,0,3,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,8,0,0,0,9,0,3,0,3,0,0,6,0,4,0
site_4,7,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,2,0,0,0,0,0,13,0,0,0,11,0,3,0,3,0,2,2,0,3,0
site_5,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,4,3,2,0,0,0,5,0,0,0,0,0,9,0,0,0,6,0,4,0,2,0,0,3,0,0,0
site_6,8,0,0,5,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,5,0,0,0,11,0,3,0,2,0,3,9,0,3,0
site_7,3,3,2,2,0,0,0,3,1,0,0,1,0,0,2,1,0,0,0,0,0,5,0,3,0,0,1,9,0,0,0,1,0,9,2,0,0,7,0,1,0,3,1,1,0,0,0,4
site_8,11,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,4,0,0,0,1,0,3,0,0,0,9,1,4,0,5,0,2,4,0,1,0
site_9,10,0,0,1,1,0,3,1,3,0,0,0,0,0,3,2,0,2,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,10,0,4,0,0,0,4,7,0,0,0
site_10,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,1,4,0,0,0
site_11,10,0,0,1,4,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,12,0,1,0,2,0,3,7,0,1,0
site_12,5,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,6,0,0,0,1,3,2,0,0,0,6,0,0,0,1,0,4,0,0,0,7,0,6,0,3,0,0,2,0,3,0
site_13,3,0,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,3,0,0,0,11,0,4,0,2,0,1,3,0,0,0
site_14,3,0,0,1,5,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,9,0,4,0,2,0,1,2,0,1,0
site_15,7,0,1,1,0,0,2,1,1,0,5,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,6,5,0,0,0
site_16,3,0,0,0,1,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,8,0,0,0,1,0,8,0,0,0,5,0,6,0,1,0,2,4,0,1,0
site_17,8,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,4,0,0,0,0,8,0,1,0
site_18,1,2,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,14,0,0,0,1,0,0,0,0,0,0
site_19,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,4,0,0,1,0,4,0,0,0,0,0,9,0,0,0,7,0,4,0,2,0,0,3,0,2,0
site_20,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,1,0,7,0,0,0,1,0,4,0,0,0,6,0,1,1,3,0,5,6,0,0,0
site_21,4,3,0,2,2,0,1,2,1,0,0,0,0,0,0,2,0,1,0,1,0,6,2,3,0,3,0,1,1,0,0,0,0,3,0,0,0,5,0,1,0,2,0,0,2,0,0,0
site_22,9,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,5,0,0,0,14,0,3,0,1,0,3,1,0,1,0
site_23,1,0,1,2,0,0,3,1,1,1,0,0,0,0,1,0,0,2,0,2,0,2,0,3,0,0,0,3,3,0,0,2,1,9,0,0,0,17,0,0,0,1,2,0,0,0,0,0
site_24,10,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,3,0,0,1,2,0,10,0,0,2,12,0,1,0,4,0,3,2,0,0,0
site_25,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,6,1,0,0,9,0,1,0,2,0,4,5,0,0,0
site_26,9,0,0,1,0,0,1,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,10,0,3,0,3,0,3,1,0,0,0
site_27,3,0,1,1,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,3,0,1,0,1,4,0,0,0
site_28,6,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,3,0,1,0,0,0,13,0,0,0,5,0,2,0,2,0,2,3,0,0,0
site_29,8,0,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1,0,2,0,0,1,0,0,7,0,0,0,11,0,4,0,1,0,2,9,0,0,0
site_30,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,8,1,0,0,5,0,0,0,0,0,1,4,0,0,3
site_31,8,1,0,0,1,0,2,3,4,0,2,0,0,0,1,0,3,0,0,0,0,2,4,4,0,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,2,5,0,0,0
site_32,6,0,0,0,5,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,8,0,0,0,8,0,3,0,1,0,1,5,0,2,0
site_33,4,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,1,0,0,0,4,0,0,0,2,0,6,0,0,0,10,0,1,0,1,0,1,3,0,3,0
site_34,6,0,0,1,1,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,1,0,9,0,0,0,16,0,4,0,0,0,1,0,0,0,0
site_35,6,7,1,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,10,1,0,0,5,0,0,0,3,0,2,0,0,1,0
site_36,1,0,0,12,0,1,0,2,0,0,0,0,0,1,0,1,5,3,0,7,0,2,1,3,0,0,5,0,3,1,0,0,0,0,0,0,0,11,4,0,0,3,1,0,3,0,3,0
site_37,2,0,0,0,0,0,2,2,3,0,4,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,4,0,0,0,0,0,7,0,0,0,12,0,2,0,2,0,3,0,0,1,0
site_38,12,0,0,2,1,0,1,1,1,1,1,0,2,0,0,0,0,1,0,0,1,0,4,0,0,0,0,3,0,0,2,0,0,3,0,0,0,7,0,5,0,4,0,1,1,0,3,0
site_39,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,0,0,5,0,0,0,1,0,0,5,0,0,0
site_40,9,0,0,1,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,4,0,5,0,1,3,0,2,0
site_41,0,0,6,1,5,1,2,1,5,0,1,0,0,0,1,1,0,0,0,7,1,11,1,2,0,1,4,5,3,1,0,3,1,0,1,0,0,0,7,0,0,2,4,0,2,0,0,2
site_42,1,0,0,3,2,1,0,3,1,0,0,3,0,0,3,0,0,3,0,0,0,2,1,2,0,3,0,2,2,0,0,1,0,3,0,0,0,7,0,4,0,0,1,0,5,0,0,1
site_43,3,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,1,0,0,4,0,0,0,7,0,0,0,1,0,2,5,0,0,0
site_44,8,0,0,2,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,2,0,1,8,0,0,0,9,0,0,0,0,0,2,4,0,0,0
site_45,8,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,1,1,0,4,0,0,0,7,0,3,0,2,0,2,2,0,1,0
site_46,3,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,8,0,2,0,2,0,5,5,0,0,0
site_47,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,5,0,0,2,10,0,3,0,2,0,0,2,0,0,0
site_48,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,2,0,1,2,0,0,0
site_49,8,0,1,3,1,0,3,4,1,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,3,0,1,0,0,0,5,0,0,0,7,0,2,0,3,0,1,3,0,2,0
site_50,3,0,0,0,0,0,3,1,1,0,3,0,0,0,0,0,0,1,0,0,0,4,2,2,0,0,0,7,0,0,0,0,0,11,0,0,0,11,0,3,0,2,0,3,5,0,0,0
site_51,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,4,6,0,0,0
site_52,0,3,0,0,0,0,1,1,2,0,2,0,0,0,2,2,0,1,0,2,0,4,3,4,0,2,0,0,4,1,1,3,0,1,0,0,0,5,0,0,0,2,1,0,0,0,1,0
site_53,6,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,5,2,0,0,0,5,0,0,0,0,0,8,0,0,0,11,0,0,0,4,0,2,1,0,1,0
site_54,2,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,2,4,0,3,0,0,0,2,5,0,2,3,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
site_55,0,1,0,3,2,2,0,2,1,0,0,1,0,0,1,1,0,0,0,3,1,4,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,3,3,1,0,1,1,0,3,0,2,0
site_56,0,0,0,0,2,0,3,1,2,0,5,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,2,0,0,0,0,0,2,0,0,2,8,0,4,0,3,0,1,4,0,0,0
site_57,3,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,0,1
site_58,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,12,0,0,0,11,0,3,0,0,0,2,4,0,0,0
site_59,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,0,0,0,0,0,7,0,0,0,9,0,2,0,1,0,0,0,0,1,0
site_60,2,0,0,0,0,0,4,1,5,0,1,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,5,0,2,0,3,0,7,0,1,0,7,0,6,0,5,3,4,5,0,0,0
site_61,2,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3,0,0,0,1,0,5,0,0,0,5,0,5,0,0,0,5,4,0,0,0
site_62,8,0,0,9,0,0,0,2,4,0,1,0,0,0,3,0,0,3,0,2,0,3,0,3,0,1,1,1,2,1,1,5,3,4,0,0,0,11,0,3,0,1,1,0,1,0,0,0
site_63,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,6,0,0,0,2,0,3,0,0,0,7,0,2,0,1,0,2,1,0,0,0
site_64,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,10,0,6,0,3,0,1,3,0,0,0
site_65,2,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,3,1,3,0,0,0,4,0,3,0,0,0,5,0,0,0,9,0,6,0,0,0,0,2,0,0,0
site_66,3,1,0,4,0,0,3,0,1,0,2,0,1,0,0,0,0,6,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,3,0,0,1,11,0,6,0,5,0,2,3,0,2,0
site_67,13,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,4,0,3,3,1,0,2,0,0,0,5,0,2,0,1,0,0,2,0,0,0
site_68,8,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,2,0,1,0,0,0,6,0,3,0,2,0,2,7,0,0,0
site_69,10,0,0,1,5,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,2,0,0,6,0,0,0,12,0,2,0,3,0,3,4,0,1,0
site_70,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,2,0,0,0,2,1,0,2,0
site_71,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,3,0,2,0,0,2,0,0,0
site_72,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,3,0,7,0,0,0,1,0,2,0,0,0,8,0,2,0,0,0,2,3,0,0,0
site_73,5,0,0,1,2,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,0,2,0,1,2,0,1,0
site_74,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,7,7,0,0,8,0,3,0,0,0,1,1,0,1,3
site_75,5,2,0,4,0,0,0,2,2,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,8,0,0,0,7,0,1,0,2,0,3,3,0,2,0
site_76,3,0,0,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,10,0,0,0,0,0,3,0,0,0,9,0,4,0,1,0,1,6,0,1,0
site_77,6,0,0,2,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,2,0,1,4,3,0,3,0,0,0,3,0,3,0,0,0,1,1,0,1,0
site_78,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,1,0,0,0,4,0,3,0,1,0,1,3,0,0,0
site_79,2,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,9,2,0,0,8,0,3,0,1,0,2,3,0,2,0
site_80,6,0,0,2,4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,8,0,1,0,2,0,0,2,0,0,0
site_81,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,6,0,0,0,9,0,5,0,0,0,2,0,0,1,0
site_82,0,0,1,1,0,0,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,6,0,0,0,0,0,6,0,0,0,9,0,0,0,1,0,0,0,0,3,0
site_83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,4,0,0,0,2,2,0,0,0
site_84,3,0,0,0,0,0,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,4,0,0,0,3,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,4,5,0,2,0
site_85,6,0,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,5,0,2,0,0,0,11,0,0,0,8,0,5,0,0,0,5,6,0,2,0
site_86,12,0,0,4,1,0,3,2,1,0,0,0,0,0,0,1,0,4,0,0,0,1,1,1,0,1,0,4,0,2,0,1,0,4,0,0,1,11,0,5,0,2,0,8,5,0,0,0
site_87,13,0,0,1,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,1,0,0,0,2,0,0,0,7,0,2,0,1,0,3,5,0,1,0
site_88,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,10,0,0,0,3,0,4,0,2,0,3,2,0,0,0
site_89,9,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,6,0,0,0,11,0,5,0,1,0,1,6,0,0,0
site_90,11,0,0,2,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,0,0,1,9,0,1,0,0,0,2,4,0,0,0
site_91,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,2,0,0,0,2,0,0,0,0,0,4,0,0,0,7,0,5,0,2,0,3,5,0,0,0
site_92,6,1,0,5,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,5,0,0,0,1,0,8,0,0,1,8,0,2,0,3,0,0,2,0,1,0
site_93,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,9,0,5,0,4,0,0,3,0,0,0
site_94,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,8,0,3,0,0,0,3,4,0,1,0
site_95,8,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,6,0,0,0,0,0,6,0,0,0,8,0,4,0,2,0,5,4,0,1,0
site_96,9,0,0,2,6,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,0,2,1,0,0,5,0,0,0,10,0,3,0,2,0,4,4,0,1,0
site_97,0,0,0,2,2,0,5,0,1,0,2,0,0,0,1,0,0,0,2,0,0,5,3,1,0,0,0,7,3,0,0,1,0,5,0,1,1,4,0,1,0,2,0,1,1,0,1,0
site_98,11,2,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,2,2,0,2,0,0,0,6,0,4,1,2,0,3,2,0,0,0
site_99,9,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,1,2,0,1,1,3,0,0,0,10,0,1,1,0,0,1,3,0,0,0
site_100,5,0,0,0,0,0,5,1,2,0,0,0,0,0,0,1,0,1,0,0,0,5,2,1,0,0,0,5,1,1,0,2,0,4,0,1,1,5,0,3,1,0,3,7,0,0,2,0
site_101,1,0,0,13,0,1,4,1,3,0,0,0,0,0,1,3,0,3,0,1,0,5,0,3,0,0,0,9,0,4,0,2,0,4,0,0,0,7,0,2,0,3,2,0,5,0,0,0
site_102,3,0,0,4,4,0,0,1,1,0,4,0,0,0,2,0,0,1,0,0,0,8,2,2,0,0,1,5,3,3,0,2,0,5,0,1,3,6,0,6,0,2,1,0,3,0,0,0
site_103,5,1,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,2,1,7,0,0,0,6,0,1,0,2,1,1,5,0,0,0
site_104,5,0,0,12,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,11,0,3,0,0,0,5,8,0,1,0
