site,ACFL,AMCR,AMGO,AMRE,AMRO,BAOR,BAWW,BGGN,BHCO,BLBW,BLJA,BRTH,BTNW,BWWA,CACH,CARW,CEDW,CERW,CHSP,COYE,EAPH,EATO,EAWP,ETTI,FISP,GCFL,GRCA,HOWA,INBU,KEWA,LOWA,NOCA,NOPA,OVEN,PIWA,PRAW,RBGR,REVI,RWBL,SCTA,SUTA,WBNU,WEVI,WEWA,WOTH,YBCH,YTVI,YTWA
site_105,4,1,0,2,0,0,3,2,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,6,1,4,0,1,0,2,0,0,0,8,0,3,0,2,0,3,1,0,1,0
site_106,10,0,0,4,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,2,7,0,2,0,2,0,2,1,0,0,0
site_107,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,0,0,0,2,0,0,0,0,0,2,0,0,0,9,0,2,0,3,0,1,3,0,0,0
site_108,6,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,1,0,0,0,7,0,0,0,0,0,9,0,0,1,7,0,3,0,1,0,3,2,0,3,0
site_109,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,3,0,1,0,5,4,0,0,2,1,9,2,0,0,6,0,0,0,1,0,2,0,0,0,10
site_110,10,0,0,2,2,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,0,2,1,1,0,2,4,0,0,0
site_111,7,0,0,1,0,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,18,0,0,0,0,0,0,0,0,2,0
site_112,6,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,4,0,0,0,9,0,4,0,3,0,1,1,0,1,0
site_113,6,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,12,0,0,1,7,0,2,0,3,0,0,1,0,0,0
site_114,7,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,9,0,0,0,0,0,12,0,0,0,7,0,2,0,3,0,3,2,0,1,0
site_115,7,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,11,0,4,0,1,0,2,2,0,0,0
site_116,7,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,5,0,0,1,9,0,3,0,1,0,5,6,0,0,0
site_117,6,1,1,5,1,0,0,0,3,0,0,0,0,4,4,0,0,1,0,0,0,8,0,2,0,0,0,3,1,1,1,0,0,8,0,0,2,12,0,4,0,0,0,1,3,0,1,0
site_118,1,1,0,3,2,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,7,0,1,0,2,0,2,0,1,0,10,0,2,0,0,2,1,1,3,0,0
site_119,0,0,0,2,1,0,1,5,1,0,1,0,0,0,0,0,0,4,0,0,0,1,6,2,0,0,0,3,0,0,0,0,0,4,0,0,0,10,0,2,1,1,1,1,3,0,4,0
site_120,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,7,0,0,0,6,0,1,0,1,0,2,0,0,0,0
site_121,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,5,0,2,0,0,0,11,0,0,0,2,0,5,0,1,0,1,4,0,1,0
site_122,7,0,0,3,0,0,2,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,4,0,1,0,1,0,8,0,0,1,11,0,0,0,3,0,1,4,0,0,0
site_123,4,1,1,5,1,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,2,1,0,12,0,0,1,10,0,3,0,1,0,0,5,0,0,0
site_124,6,0,0,0,2,0,4,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,8,0,2,0,7,0,2,0,0,1,4,0,1,0,0
site_125,9,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,1,0,1,0,4,0,0,0,8,0,1,0,1,0,3,4,0,1,0
site_126,7,1,0,0,0,0,2,1,0,0,3,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0,0,2,0,1,0,0,0,5,0,0,0,7,0,4,0,1,0,1,3,0,1,0
site_127,4,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,13,0,0,0,2,4,1,4,0,0,0
site_128,4,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,12,0,0,0,7,0,5,0,2,1,4,1,1,2,0
site_129,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,3,0,0,0,1,0,5,0,0,0,15,0,2,0,0,0,4,1,0,0,0
site_130,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,2,1,0,5,0,8,3,1,0,1,0,0,0,0,0,4,0,4,1,6,0,2,2,0,2,0
site_131,7,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,1,1,0,0,12,0,0,0,6,0,3,0,0,0,3,3,0,2,0
site_132,6,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,8,0,0,0,9,0,3,0,5,0,5,7,0,0,0
site_133,3,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,2,0,0,0,0,1,3,0,0,2,6,0,3,0,2,0,0,8,0,1,0
site_134,8,2,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,15,0,0,0,11,0,1,0,2,0,4,0,0,1,0
site_135,7,0,0,4,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0,1,0,0,0,4,0,0,1,0,0,6,0,0,0,9,0,1,0,1,2,6,1,0,1,0
site_136,0,0,0,0,1,5,5,2,3,0,1,0,0,3,0,1,6,0,0,0,1,9,0,4,0,2,0,6,2,1,0,0,0,0,0,1,0,1,0,2,1,3,6,2,1,5,1,0
site_137,0,1,0,0,0,0,1,0,2,0,1,0,0,1,2,0,4,0,0,0,0,5,3,1,0,0,0,6,1,4,0,2,0,0,0,1,0,4,0,1,1,8,3,0,5,0,2,0
site_138,0,2,1,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,2,0,13,0,2,2,0,0,1,3,0,0,0,0,1,0,10,0,1,0,1,0,0,5,0,0,8,0,0
site_139,1,0,0,0,0,0,4,0,0,1,2,0,0,1,0,1,0,0,0,0,0,3,1,0,0,2,0,0,3,0,0,4,0,2,0,0,0,3,0,3,0,2,2,2,2,1,0,0
site_140,4,0,3,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,2,0,0,3,3,1,1,0,0,8,0,1,0,7,0,0,0,2,0,3,7,2,0,0
site_141,3,1,4,2,0,0,0,6,0,0,2,0,0,1,1,0,0,1,0,3,0,3,1,6,0,0,1,0,6,0,0,2,1,2,0,0,1,9,1,4,0,2,3,0,4,0,0,0
site_142,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,3,0,1,0,0,1,8,0,0,0,10,0,1,0,1,0,0,2,0,0,0
site_143,6,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0,0,10,0,1,0,0,0,0,0,0,0,0
site_144,2,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,5,2,0,0,0,0,4,2,1,0,3,0,2,0,0,0,5,0,3,0,4,6,2,3,2,1,5
site_145,3,1,0,0,0,1,2,0,4,0,0,0,0,0,1,1,0,0,0,0,1,7,2,3,0,1,0,2,1,1,0,0,0,2,0,4,0,4,0,3,1,3,3,0,3,1,1,0
site_146,12,0,0,0,0,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,1,0,1,0,5,0,0,0,8,0,6,0,2,0,3,7,0,0,0
site_147,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,4,0,0,0,1,0,6,0,0,0,7,0,8,0,0,0,2,5,0,0,0
site_148,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,8,0,1,0,6,0,3,0,3,0,1,4,1,0,0
site_149,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,7,0,1,0,0,0,1,8,0,0,0
site_150,5,0,0,1,1,0,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,8,0,0,0,7,0,3,0,4,0,1,4,0,0,0
site_151,3,3,1,0,0,0,2,7,0,0,0,0,0,1,2,2,0,0,1,2,2,2,0,4,0,2,1,2,1,2,1,3,0,4,0,0,0,6,0,1,0,2,1,3,1,4,0,0
site_152,2,1,0,0,1,0,3,1,6,0,0,0,0,2,1,0,0,0,0,0,1,5,2,4,0,0,0,4,0,4,0,1,0,11,0,1,0,4,0,3,0,3,0,3,1,0,0,3
site_153,8,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,11,0,1,0,4,0,3,4,0,0,0
site_154,8,0,1,0,0,0,3,4,4,0,2,0,0,0,1,0,0,0,0,1,1,2,0,2,0,0,2,6,0,0,1,3,1,4,0,0,0,16,0,3,0,2,1,1,7,0,0,0
site_155,5,2,2,4,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,3,0,2,1,5,0,1,0,3,6,2,0,2,0,1,0,0,0,8,0,2,0,2,3,2,1,0,3,2
site_156,3,0,1,0,0,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,4,1,0,0,0,0,8,0,0,0,4,0,2,0,0,0,3,0,0,0,0
site_157,3,1,0,0,1,0,0,3,3,0,2,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,2,0,0,1,0,0,13,0,0,0,4,0,4,0,4,0,0,5,0,0,1
site_158,4,2,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,4,0,2,0,0,0,10,0,0,0,5,0,0,0,3,0,4,0,0,2,0
site_159,9,2,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,4,1,1,0,0,2,1,0,1,0,0,0,6,0,0,0,12,0,0,0,0,0,4,0,0,0,1
site_160,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,0,1,0,6,0,0,0,1,0,3,0,0,0,9,0,3,1,2,0,2,1,0,3,0
site_161,6,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,8,0,0,0,9,0,2,0,1,0,3,4,0,3,0
site_162,1,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,4,1,2,0,0,0,0,3,0,0,0,0,1,0,1,0,7,0,1,1,0,1,2,2,0,1,0
site_163,9,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,2,0,0,0,3,0,0,1,0,0,6,0,0,0,14,0,0,0,2,0,0,3,0,0,0
site_164,3,0,0,0,0,1,4,2,3,0,5,0,0,0,3,1,1,0,1,0,1,7,0,5,0,0,2,3,2,5,0,0,0,3,0,2,1,4,0,3,0,4,1,3,1,5,1,0
site_165,2,1,0,0,0,0,2,2,2,0,1,0,0,0,2,1,0,0,0,0,0,5,0,6,0,0,0,9,2,0,0,1,0,6,0,0,0,8,0,1,0,0,0,1,2,0,1,0
site_166,6,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,5,0,0,0,0,0,5,3,2,2,0,0,7,0,0,0,11,0,1,0,2,0,1,5,0,0,1
site_167,5,0,1,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,4,0,1,1,5,1,2,0,0,0,5,0,0,0,4,0,2,0,3,2,2,0,1,1,0
site_168,2,0,0,6,2,0,0,6,0,0,0,0,0,0,2,1,0,0,0,2,0,4,0,5,0,0,1,1,3,2,1,3,0,1,0,0,0,6,0,0,0,1,5,0,5,0,2,3
site_169,11,1,0,0,2,2,0,2,4,1,2,0,0,0,0,0,3,0,0,0,0,1,3,3,0,1,0,3,0,2,2,1,0,1,0,0,1,14,0,2,0,4,0,3,12,0,0,0
site_170,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,1,0,0,4,0,0,0,8,0,2,0,1,0,4,4,0,1,0
site_171,10,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,9,0,0,0,7,0,2,0,1,0,1,3,0,0,0
site_172,3,0,0,0,2,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,5,0,0,0,0,0,14,0,0,0,8,0,3,1,2,0,3,6,0,3,0
site_173,1,0,0,0,0,0,2,1,1,0,2,1,0,3,1,0,0,0,0,0,0,3,0,1,0,0,0,2,7,0,0,1,0,3,0,0,0,9,0,0,0,0,1,0,0,6,0,0
site_174,1,0,0,0,0,0,4,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,12,0,0,0,8,0,3,1,0,0,4,2,0,0,0
site_175,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,5,0,2,0,0,0,3,4,0,0,4,0,1,0,1,0,5,0,0,0,0,1,2,1,0,0,0
site_176,1,1,0,0,1,0,1,5,1,0,1,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,13,0,0,0,11,0,0,1,3,0,1,4,0,0,0
site_177,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,7,0,1,0,0,0,10,0,0,0,12,0,7,0,0,1,3,1,0,0,0
site_178,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,6,0,0,0,6,0,1,0,3,0,4,7,0,0,0
site_179,3,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,4,0,0,0,0,0,11,0,0,0,10,0,3,0,2,0,2,8,0,1,0
site_180,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,6,1,0,0,0,0,5,0,0,0,12,0,3,0,2,0,0,3,0,0,0
site_181,5,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,7,0,0,0,6,0,3,0,0,0,1,7,0,1,0
site_182,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,6,1,1,0,0,0,1,3,0,0,0,0,4,0,3,0,2,0,1,0,2,0,0,0,3,1,0
site_183,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,3,2,0,0,0,2,0,0,0,0,0,14,0,0,0,7,0,0,0,4,0,2,2,0,1,0
site_184,5,0,0,0,6,0,1,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,6,0,1,0,1,0,5,5,0,2,0
site_185,0,0,0,0,0,0,1,1,0,0,1,0,0,5,2,0,0,0,0,4,0,5,0,0,3,0,2,1,5,0,0,1,0,0,0,7,0,2,0,0,0,0,3,0,0,10,1,0
site_186,0,0,2,0,1,0,0,2,3,0,0,1,0,3,0,0,0,0,0,0,0,5,1,2,0,3,0,5,2,1,0,1,0,0,0,3,0,4,0,2,0,0,4,2,0,3,1,0
site_187,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,9,0,2,3,0,1,4,5,0,0,0
site_188,2,0,0,0,0,0,3,1,4,0,3,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,5,0,3,0,0,0,7,0,0,0,9,0,6,1,1,0,3,1,0,0,0
site_189,0,0,1,0,2,0,4,0,1,0,2,0,0,0,2,0,0,0,0,1,0,8,0,3,0,0,0,9,6,1,0,0,0,5,0,1,0,3,0,4,0,3,1,1,3,6,1,0
site_190,0,0,1,0,0,0,4,1,3,0,0,0,0,4,2,1,3,0,0,1,1,8,0,2,1,1,0,4,6,0,0,1,0,0,0,8,1,3,0,0,0,3,7,0,0,9,0,0
site_191,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,2,3,0,0,0,0,5,0,2,0,5,0,0,0,1,3,1,0,0,0,0
site_192,0,1,0,0,0,0,2,1,0,0,1,0,0,4,2,0,0,0,0,0,1,7,1,0,4,0,1,7,2,1,0,0,0,5,0,3,0,6,0,0,0,0,1,0,0,1,0,0
site_193,7,1,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,9,0,0,0,12,0,5,0,3,0,0,2,0,1,0
site_194,0,1,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,1,0,4,0,0,1,0,0,0,1,1,0,2,0,2,0,3,0,2,0,2,0,1,1,0,0,4,0,0
site_195,3,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,7,0,2,1,4,0,2,6,0,0,0
site_196,2,1,0,0,0,0,3,0,2,0,1,0,0,0,1,1,0,1,0,0,0,1,1,2,0,0,0,6,3,5,1,0,0,7,0,0,0,9,0,2,0,1,0,1,1,0,1,0
site_197,3,0,0,0,0,0,2,5,2,0,1,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,6,0,0,0,1,0,8,0,0,1,10,0,4,0,1,0,1,0,0,3,0
site_198,9,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,5,0,1,0,0,0,11,0,0,0,6,0,4,0,1,0,1,7,0,0,0
site_199,6,0,0,0,1,0,3,1,4,0,0,0,0,0,1,0,0,3,0,0,0,3,1,1,0,1,0,3,0,0,0,0,0,9,0,0,0,10,0,1,0,2,0,4,0,0,3,0
site_200,3,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,8,0,0,1,0,0,10,0,0,0,11,0,4,0,2,0,2,2,0,2,0
site_201,4,0,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,5,0,1,0,0,0,15,0,0,0,7,0,5,0,1,0,1,5,0,0,0
site_202,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,0,0,0,2,0,3,0,0,0,13,0,0,0,8,0,2,0,1,0,1,0,0,2,0
site_203,7,0,0,0,1,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,2,4,4,3,0,1,0,5,0,0,0,0,0,8,0,0,0,9,0,6,0,2,0,2,7,0,0,0
site_204,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,2,0,0,0,11,0,2,0,0,0,0,3,0,0,0
site_205,0,2,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,1,0,8,0,0,0,0,0,2,2,0,0,0,0,4,0,4,0,1,0,0,0,0,5,1,0,8,0,0
site_206,7,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,9,0,0,0,10,0,4,0,5,0,1,3,0,1,0
site_207,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0
site_208,0,0,0,2,4,0,5,3,1,0,0,1,0,0,0,0,0,3,0,0,0,4,2,1,0,0,1,3,1,0,0,2,0,3,0,1,0,8,0,4,0,1,5,0,9,2,1,0
site_209,2,0,8,2,0,0,0,6,0,0,0,0,0,3,6,1,4,1,0,7,0,0,0,2,0,0,1,0,2,0,0,2,0,0,0,0,1,6,1,1,1,0,7,0,0,4,1,0
site_210,2,0,0,0,1,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,4,0,0,0,1,0,3,0,0,0,18,0,1,1,1,2,5,5,0,0,0